epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
180,1452.35,0.62221,0.46511,0.99705,0.83841,0.58528,0.6545,0.48748,1.13881,1.2134,1.50342,0.000162835,0.000162835,0.000162835
181,1460.28,0.60861,0.43056,1.01,0.79842,0.60917,0.6555,0.48904,1.1524,1.20332,1.5354,0.000155761,0.000155761,0.000155761
182,1468.08,0.50556,0.41186,0.9734,0.8147,0.58552,0.65264,0.49201,1.14756,1.21587,1.53567,0.000148687,0.000148687,0.000148687
183,1476.01,0.59277,0.43111,0.97203,0.8147,0.58552,0.65264,0.49201,1.14756,1.21587,1.53567,0.000141614,0.000141614,0.000141614
184,1483.77,0.58451,0.41836,0.98251,0.73885,0.62682,0.65151,0.49917,1.13942,1.23997,1.52364,0.00013454,0.00013454,0.00013454
185,1491.99,0.61327,0.45411,0.97297,0.74269,0.62622,0.64741,0.49458,1.1285,1.23681,1.51813,0.000127467,0.000127467,0.000127467
186,1499.94,0.59324,0.41564,0.96128,0.74968,0.62622,0.65556,0.51207,1.13117,1.23235,1.53079,0.000120393,0.000120393,0.000120393
187,1508.07,0.55969,0.39266,0.95259,0.74968,0.62622,0.65556,0.51207,1.13117,1.23235,1.53079,0.00011332,0.00011332,0.00011332
188,1515.95,0.58737,0.40916,0.98041,0.7511,0.62289,0.65818,0.50906,1.11981,1.20853,1.52181,0.000106246,0.000106246,0.000106246
189,1523.75,0.60135,0.47444,1.01651,0.74704,0.60938,0.65907,0.51323,1.10279,1.16676,1.512,9.91726e-05,9.91726e-05,9.91726e-05
190,1531.64,0.55937,0.39731,0.9546,0.76029,0.60648,0.6556,0.50764,1.09027,1.16285,1.49863,9.20991e-05,9.20991e-05,9.20991e-05
191,1540.05,0.45786,0.38225,0.94478,0.76029,0.60648,0.6556,0.50764,1.09027,1.16285,1.49863,8.50255e-05,8.50255e-05,8.50255e-05
192,1548.2,0.49161,0.37473,0.97111,0.77316,0.60207,0.65957,0.51356,1.08663,1.13499,1.49585,7.7952e-05,7.7952e-05,7.7952e-05
193,1556.13,0.4739,0.37749,0.92875,0.86196,0.52026,0.65145,0.50771,1.10261,1.12501,1.51815,7.08784e-05,7.08784e-05,7.08784e-05
194,1563.92,0.50057,0.40556,0.98727,0.79368,0.57496,0.6551,0.5098,1.12789,1.1365,1.54322,6.38049e-05,6.38049e-05,6.38049e-05
195,1572.34,0.46061,0.36316,0.91601,0.79368,0.57496,0.6551,0.5098,1.12789,1.1365,1.54322,5.67313e-05,5.67313e-05,5.67313e-05
196,1580.25,0.50526,0.39337,0.95952,0.8774,0.54622,0.65954,0.51274,1.13608,1.17092,1.53865,4.96578e-05,4.96578e-05,4.96578e-05
197,1588.27,0.46261,0.33738,0.91711,0.89796,0.52877,0.65581,0.50676,1.11064,1.13402,1.51915,4.25842e-05,4.25842e-05,4.25842e-05
198,1596.17,0.46447,0.33908,0.90324,0.81757,0.61014,0.66125,0.51755,1.10087,1.11699,1.50725,3.55107e-05,3.55107e-05,3.55107e-05
199,1603.89,0.47856,0.39668,1.0262,0.81757,0.61014,0.66125,0.51755,1.10087,1.11699,1.50725,2.84371e-05,2.84371e-05,2.84371e-05
200,1612.17,0.4799,0.37146,0.96717,0.78335,0.61123,0.65769,0.51682,1.10087,1.10181,1.51836,2.13636e-05,2.13636e-05,2.13636e-05
