epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,335.963,1.05376,0.9513,1.22789,0.4303,0.34357,0.3066,0.19766,1.87454,2.42833,2.33358,0.00113898,0.00113898,0.00113898
43,343.947,1.13746,1.17858,1.33968,0.4303,0.34357,0.3066,0.19766,1.87454,2.42833,2.33358,0.00113191,0.00113191,0.00113191
44,351.692,1.06571,1.14374,1.30733,0.47265,0.26754,0.28868,0.19077,2.05991,2.38444,2.53089,0.00112484,0.00112484,0.00112484
45,359.596,1.11137,0.94946,1.27533,0.74708,0.28874,0.26487,0.15415,2.0498,2.84278,2.57073,0.00111776,0.00111776,0.00111776
46,367.479,1.07756,1.06549,1.27718,0.46029,0.51114,0.47663,0.32914,1.55289,2.33587,1.85102,0.00111069,0.00111069,0.00111069
47,375.614,1.07641,0.93187,1.217,0.46029,0.51114,0.47663,0.32914,1.55289,2.33587,1.85102,0.00110362,0.00110362,0.00110362
48,383.583,1.14354,1.0445,1.26573,0.34586,0.52534,0.37968,0.23207,1.5187,2.43883,1.83688,0.00109654,0.00109654,0.00109654
49,391.357,1.0583,0.88814,1.2134,0.60377,0.48854,0.41571,0.26157,1.4347,2.18065,1.79745,0.00108947,0.00108947,0.00108947
50,399.731,0.98514,0.93917,1.26202,0.64865,0.49024,0.51579,0.35601,1.39855,1.73528,1.72259,0.0010824,0.0010824,0.0010824
51,407.513,1.00806,0.8858,1.2439,0.64865,0.49024,0.51579,0.35601,1.39855,1.73528,1.72259,0.00107532,0.00107532,0.00107532
52,415.628,1.01742,0.96786,1.218,0.60912,0.53119,0.48934,0.3169,1.45731,1.75149,1.74508,0.00106825,0.00106825,0.00106825
53,423.583,0.97004,0.8992,1.15072,0.48962,0.41082,0.40574,0.23893,1.65093,2.18529,1.93499,0.00106118,0.00106118,0.00106118
54,431.537,1.01521,0.88507,1.21904,0.65415,0.46876,0.52819,0.34339,1.33283,1.66759,1.61763,0.0010541,0.0010541,0.0010541
55,439.396,1.09807,1.0165,1.26791,0.65415,0.46876,0.52819,0.34339,1.33283,1.66759,1.61763,0.00104703,0.00104703,0.00104703
56,447.171,1.02942,0.88261,1.21761,0.55101,0.66131,0.57178,0.41728,1.27881,1.30479,1.57141,0.00103995,0.00103995,0.00103995
57,455.143,1.1935,0.9884,1.34154,0.68145,0.59698,0.59174,0.40984,1.40661,1.43776,1.69057,0.00103288,0.00103288,0.00103288
58,463.013,1.01022,0.96994,1.17726,0.63319,0.42815,0.47485,0.33031,1.334,1.69666,1.61428,0.00102581,0.00102581,0.00102581
59,471.085,0.88316,0.81494,1.10602,0.63319,0.42815,0.47485,0.33031,1.334,1.69666,1.61428,0.00101873,0.00101873,0.00101873
60,478.953,1.00327,0.93226,1.16315,0.5157,0.46415,0.48649,0.33208,1.28913,1.75493,1.65363,0.00101166,0.00101166,0.00101166
61,486.671,0.86624,0.71789,1.11454,0.63385,0.47973,0.51582,0.35274,1.35586,1.72306,1.74605,0.00100459,0.00100459,0.00100459
62,494.578,0.93382,0.78998,1.15655,0.66768,0.45191,0.53319,0.37512,1.32759,1.63237,1.69192,0.000997513,0.000997513,0.000997513
